date,avg_daily_yield,total_yield
2020-05-15,6795.745450106534,6795.745450106534
2020-05-16,5743.057578346946,12538.80302845348
2020-05-17,5631.6969659978695,18170.499994451347
2020-05-18,5405.574662642045,23576.07465709339
2020-05-19,3920.8055725097656,27496.880229603157
2020-05-20,5232.040737575955,32728.92096717911
2020-05-21,6055.7317301432295,38784.65269732234
2020-05-22,6527.643166934743,45312.29586425708
2020-05-23,6232.6746012369795,51544.97046549406
2020-05-24,5788.587115119485,57333.557580613546
2020-05-25,6889.081461588542,64222.639042202085
2020-05-26,7087.129165649414,71309.7682078515
2020-05-27,6367.475667317708,77677.24387516921
2020-05-28,5686.866628011067,83364.11050318027
2020-05-29,6501.4272793856535,89865.53778256592
2020-05-30,6524.551234654018,96390.08901721994
2020-05-31,5874.869695490057,102264.95871271
2020-06-01,3814.0303011807528,106078.98901389075
2020-06-02,5396.5592928799715,111475.54830677072
2020-06-03,4398.17900501598,115873.7273117867
2020-06-04,5086.393931995739,120960.12124378244
2020-06-05,5456.9636341441765,126417.08487792662
2020-06-06,5701.203014026989,132118.2878919536
2020-06-07,5160.530958695846,137278.81885064943
2020-06-08,6335.2421875,143614.06103814943
2020-06-09,5844.4969704367895,149458.55800858623
2020-06-10,4140.63896040483,153599.19696899105
2020-06-11,3639.1333285245028,157238.33029751555
2020-06-12,4379.71210826527,161618.0424057808
2020-06-13,4823.678799715909,166441.72120549672
2020-06-14,5359.136369185014,171800.85757468175
2020-06-15,4389.536360307174,176190.3939349889
2020-06-16,5261.772727272727,181452.16666226165
