date,predicted_total_yield,yhat_lower,yhat_upper,,date,avg_daily_yield,total_yield,,Predicted Total,difference
5/16/20,6590.83502,5648.76266,7564.013493,,5/16/20,6421.77778,6421.77778,,3125990.468,100.0000398
5/17/20,13430.24885,12466.60765,14390.07931,,5/17/20,7533.38889,13955.1667,,,
5/18/20,19744.52976,18754.95649,20634.38954,,5/18/20,5364.88889,19320.0556,,Real Total,
5/19/20,25363.16299,24421.63863,26329.57712,,5/19/20,6876,26196.0556,,3125989.224,
5/21/20,35319.52986,34465.42673,36288.74893,,5/21/20,7741.3,33937.3556,,,
5/22/20,41593.46517,40601.31162,42536.29766,,5/22/20,7203.88889,41141.2444,,,
5/23/20,49537.54526,48575.66273,50469.32405,,5/23/20,8504.88889,49646.1333,,,
5/24/20,57318.1066,56362.66234,58272.17184,,5/24/20,7979.5,57625.6333,,,
5/25/20,64572.7551,63687.72657,65619.53589,,5/25/20,8786.72222,66412.3556,,,
5/27/20,73337.51397,72389.63744,74326.03399,,5/27/20,6469.43056,72881.7861,,,
5/29/20,81764.27651,80812.87473,82776.4201,,5/29/20,7845.94444,80727.7306,,,
5/30/20,87843.53397,86925.66941,88793.83535,,5/30/20,7252.33333,87980.0639,,,
5/31/20,93764.07114,92739.31252,94769.92623,,5/31/20,5957.41176,93937.4757,,,
6/1/20,100284.1759,99260.78807,101228.399,,6/1/20,5799.05556,99736.5312,,,
6/2/20,107852.5398,106858.0984,108819.7678,,6/2/20,7368.6,107105.131,,,
6/3/20,114806.6075,113871.7637,115693.9476,,6/3/20,7683.07937,114788.211,,,
6/4/20,121708.3726,120768.6604,122658.4665,,6/4/20,8075.55556,122863.766,,,
6/5/20,128989.5,128094.2981,129984.9251,,6/5/20,7675.7,130539.466,,,
6/6/20,137383.3191,136489.1139,138377.4879,,6/6/20,6175.875,136715.341,,,
6/7/20,145613.6194,144622.3896,146536.7394,,6/7/20,7753.625,144468.966,,,
6/8/20,153318.7869,152394.7222,154270.9674,,6/8/20,8207.10417,152676.07,,,
6/9/20,160328.3067,159403.3429,161297.4783,,6/9/20,8059.88889,160735.959,,,
6/10/20,166723.0363,165737.8088,167682.3561,,6/10/20,6461.05556,167197.015,,,
6/11/20,172404.133,171367.0882,173381.3563,,6/11/20,5433.79167,172630.806,,,
6/12/20,178466.1369,177518.1255,179355.3207,,6/12/20,5773.97618,178404.783,,,
6/13/20,186198.134,185202.2595,187117.7063,,6/13/20,8385.07639,186789.859,,,
6/14/20,193766.6124,192780.7151,194734.4307,,6/14/20,7115.34722,193905.206,,,
6/15/20,200809.9579,199804.8666,201726.7508,,6/15/20,6679.75694,200584.963,,,
6/16/20,207157.6556,206200.2406,208209.794,,6/16/20,6079.35417,206664.317,,,
6/17/20,212891.0548,211899.9215,213897.1351,,,,,,,
6/18/20,218572.1515,217343.6456,219721.3909,,,,,,,
6/19/20,224634.1554,223090.9458,226133.642,,,,,,,
6/20/20,232366.1525,230147.2554,234503.9288,,PP_Generation,,,,,
6/21/20,239934.6309,236793.4239,242895.1049,,106504.0893,,,,,
6/22/20,246977.9764,243083.9894,250579.5201,,,,,,,
6/23/20,253325.6741,248418.1469,257967.4938,,,,,,,
6/24/20,259059.0733,253053.1411,264565.5898,,,,,,,
6/25/20,264740.17,257529.5766,271348.5917,,,,,,,
6/26/20,270802.1739,262306.6218,278727.0695,,,,,,,
6/27/20,278534.171,268813.7522,287888.6055,,,,,,,
6/28/20,286102.6494,274969.6195,296709.6082,,,,,,,
6/29/20,293145.9948,280475.7413,305494.7407,,,,,,,
6/30/20,299493.6926,285475.7237,313168.4063,,,,,,,
